name,email,date_of_birth,address,phone_number,grade,student_id,major,minor,enrollment_year,graduation_year,gender,gpa,ethnicity,marital_status,courses,student_type,scholarship,sports_teams,internship_status,social_security_number,birth_place,nationality,parents,emergency_contact,language_proficiency,previous_schools,has_student_loan
Zachary Hernandez,donnacook@example.org,2004-05-28,"4162 Reynolds Stream Suite 145
Lunaberg, VA 71960",403-904-1520,D,3a600d25-d0c4-40b5-884a-38b98857f1a9,Biology,Philosophy,2003,1978,Non-binary,11.8,Hispanic,Divorced,"['deliver end-to-end paradigms', 'strategize integrated users', 'exploit leading-edge markets']",Full-time,Yes,Football,None,266-93-5293,West Katie,American,"{'father_name': 'Natalie Morgan', 'mother_name': 'Tina Alexander', 'contact_number': '620-287-3899x8223'}","{'name': 'Jill Davis', 'relationship': 'Sibling', 'phone_number': '744.908.1224x6052'}",German,"['Chandler-Pierce', 'Douglas-Hensley']",Yes
Jacqueline Mitchell,tmalone@example.org,2006-07-11,"77804 Kathleen Mission
Katherineshire, SC 32012",708.488.9769x33844,C,c2502c4a-7a49-42bd-97a0-3f88f1b365a3,Physics,Art History,1973,2010,Female,4.8,Asian,Divorced,"['strategize enterprise vortals', 'whiteboard transparent deliverables', 'repurpose frictionless applications']",Full-time,No,Soccer,Completed Internship,616-62-0968,Loristad,Australian,"{'father_name': 'Kevin Mendez', 'mother_name': 'Rachel Dunn', 'contact_number': '711.718.1920x30493'}","{'name': 'Rebecca Baker', 'relationship': 'Parent', 'phone_number': '(440)771-7516'}",German,"['Palmer, Oliver and White', 'Carson, Johnson and Reyes']",Yes
Julie Webb,ronaldjones@example.net,2003-07-04,"328 Buchanan Mountain
Amandaburgh, UT 16150",298-701-1206,D,80fca7f1-0915-4cfa-b0da-38fbe8b607c7,Mathematics,Art History,1995,2011,Female,7.8,Caucasian,Divorced,"['innovate efficient communities', 'visualize magnetic relationships', 'benchmark transparent partnerships']",Part-time,No,Soccer,Completed Internship,680-79-9863,Greenport,Australian,"{'father_name': 'Brandon Miles', 'mother_name': 'Sharon Cox', 'contact_number': '855-684-3707x16334'}","{'name': 'Andrea Munoz', 'relationship': 'Other', 'phone_number': '302-831-5790x44243'}",German,"['Salazar, Black and Benjamin', 'Reed Inc']",No
Kristen Collins,suttontammy@example.net,2007-02-25,"79108 Lisa Street
West Chelseamouth, FL 74781",001-727-308-7375x0423,C,d0ec722f-7177-47ce-b63e-bf2ecde98422,Chemistry,Music,1982,2004,Non-binary,3.5,Caucasian,Divorced,"['orchestrate mission-critical models', 'productize 24/365 initiatives', 'utilize collaborative functionalities']",Full-time,No,Soccer,Completed Internship,143-14-4506,South Zacharybury,British,"{'father_name': 'Ryan Frank', 'mother_name': 'Carlos Walters', 'contact_number': '541-276-9289x64372'}","{'name': 'Amy Bennett', 'relationship': 'Parent', 'phone_number': '001-539-712-4888x25556'}",German,"['Valencia, Frey and Harris', 'Blackwell-Cowan']",Yes
Alexander Harris,mwright@example.com,2006-02-28,"19380 Montgomery Shore
South John, MO 23505",857.727.6679x206,F,ac510790-6cee-44c0-a101-f77d58a72eed,History,Art History,2013,1999,Non-binary,10.1,Caucasian,Single,"['seize holistic networks', 'e-enable granular ROI', 'deploy visionary mindshare']",Full-time,No,None,Completed Internship,382-63-7432,Stevensshire,British,"{'father_name': 'Eric Stephens', 'mother_name': 'Amy Lee', 'contact_number': '(846)654-5212x7472'}","{'name': 'Erica Harrington', 'relationship': 'Other', 'phone_number': '643-805-2560x5185'}",German,"['Bush-Wyatt', 'Guerra-Watkins']",Yes
David Miles,pescobar@example.org,2003-06-24,"4266 Ewing Well Apt. 050
Roberthaven, MP 56697",3577027104,D,1f8fd68d-088d-4a89-a6ff-ac2a8812efc4,Engineering,Sociology,1993,1986,Male,6.4,Asian,Married,"['transition revolutionary ROI', 'transition granular vortals', 'monetize B2C communities']",Part-time,No,None,Currently Internship,455-76-1117,Port Katelynmouth,German,"{'father_name': 'Sylvia Rice', 'mother_name': 'Jessica Velasquez', 'contact_number': '212.858.1606x32493'}","{'name': 'Amanda Reed', 'relationship': 'Friend', 'phone_number': '637-295-7279'}",English,"['Alvarado-Nelson', 'Simmons and Sons']",Yes
Kyle Roberts,osmith@example.com,2006-11-08,"13443 Chambers Drives Apt. 620
Lake Ryan, MA 94579",001-264-930-9867x23747,F,cc475de3-bbdf-4bd7-95ed-41832f564883,Mathematics,Sociology,2012,2012,Male,5.8,Mixed,Divorced,"['transition innovative web-readiness', 'utilize extensible synergies', 'reinvent ubiquitous applications']",Full-time,No,None,Currently Internship,856-80-6639,East Amy,Canadian,"{'father_name': 'Mark Hutchinson', 'mother_name': 'Claire Scott', 'contact_number': '+1-451-379-0038x51088'}","{'name': 'Krista Moore', 'relationship': 'Parent', 'phone_number': '433.864.2693x7822'}",French,"['Paul Inc', 'Graves LLC']",Yes
Michael Jones,bartonelizabeth@example.com,2002-03-29,"4067 Leslie Wells
Port Jonathon, NM 47431",+1-871-907-7820x7707,B,877d6de9-664c-46a4-a364-8f478ae0bdd9,Chemistry,Psychology,2005,1983,Non-binary,6.0,Other,Married,"['redefine visionary synergies', 'synergize leading-edge methodologies', 'engage open-source e-commerce']",Full-time,Yes,Soccer,Completed Internship,019-21-7018,Youngport,Canadian,"{'father_name': 'John Chavez', 'mother_name': 'Wayne Mathis', 'contact_number': '534-236-0818x735'}","{'name': 'Barbara Lane', 'relationship': 'Friend', 'phone_number': '(415)371-5672'}",Mandarin,"['Vincent, Waters and Velasquez', 'Gutierrez-Hester']",Yes
Angela Brown,edwardsamanda@example.org,2002-11-27,"0538 Gutierrez Shore Apt. 379
Bobbyview, NC 77895",645.415.7706,C,f2a86527-0768-43ca-8103-5484b4609803,Chemistry,Psychology,2001,1975,Female,10.8,Other,Divorced,"['matrix turn-key deliverables', 'repurpose revolutionary portals', 'streamline scalable initiatives']",Full-time,No,Soccer,Completed Internship,428-26-6578,West Anthonyfurt,American,"{'father_name': 'David Smith', 'mother_name': 'Martin Clark', 'contact_number': '(257)812-4113'}","{'name': 'Cory Meyer', 'relationship': 'Other', 'phone_number': '584.570.5357x16264'}",German,"['Johnson, Porter and Case', 'Moody-Clarke']",Yes
Dennis Pope,pamelamcfarland@example.net,2002-06-15,"255 Phillip Parkway Suite 065
Avilashire, KY 18772",+1-613-366-5720x77444,F,48fcf978-5289-4174-967b-ff413d8a3991,Mathematics,Art History,1980,1984,Male,9.2,Asian,Divorced,"['innovate next-generation e-services', 'reinvent 24/7 content', 'implement customized web-readiness']",Part-time,Yes,Soccer,Completed Internship,140-02-8357,Lake Nicolechester,German,"{'father_name': 'Joshua Simmons', 'mother_name': 'David Little', 'contact_number': '230.701.2155x028'}","{'name': 'John Howell', 'relationship': 'Sibling', 'phone_number': '853.842.3885x9929'}",Spanish,"['Sullivan and Sons', 'Thomas Ltd']",No
Matthew Ramirez,mgraham@example.net,2003-12-12,"USCGC Coleman
FPO AA 71123",(986)263-7405,F,ebf6f7cf-05d3-414a-a995-5b48b43c117c,Physics,Music,1988,1997,Female,7.3,Asian,Divorced,"['disintermediate visionary experiences', 'enable 24/365 relationships', 'drive B2B mindshare']",Full-time,No,None,None,045-84-6879,Susanmouth,Canadian,"{'father_name': 'Mrs. Mary Mckay DDS', 'mother_name': 'Kyle Sellers', 'contact_number': '714.434.4396x911'}","{'name': 'Deanna Fischer', 'relationship': 'Parent', 'phone_number': '902-398-1510'}",German,"['Butler-Johnson', 'Garcia Inc']",No
Jordan Richardson,cwebb@example.com,2003-05-15,"775 Kane Gardens Apt. 917
Shellyhaven, TX 22424",+1-727-984-3738x468,F,31b80227-2bc8-4670-a245-1b3bfe458a13,Engineering,Sociology,1999,1978,Male,9.7,Caucasian,Married,"['benchmark frictionless mindshare', 'disintermediate end-to-end convergence', 'engage scalable communities']",Part-time,No,Basketball,Completed Internship,245-34-3635,Ericville,Australian,"{'father_name': 'Peggy Smith', 'mother_name': 'Michael Tyler', 'contact_number': '(380)492-4318'}","{'name': 'Paul Fitzgerald', 'relationship': 'Other', 'phone_number': '282.322.3419x5166'}",French,"['Moody-Brown', 'Rice, Kline and Delgado']",Yes
Deborah Tucker,angelacooper@example.com,2004-07-21,"9347 Kelli Ville
East Michaelton, NH 34835",8395624910,A,8128e57c-7ed6-41cd-b8c1-c6b126923d10,Engineering,Philosophy,1996,1993,Female,7.6,Mixed,Divorced,"['incubate compelling content', 'deliver value-added supply-chains', 'integrate killer platforms']",Full-time,Yes,None,None,022-58-4791,North Danielfort,Australian,"{'father_name': 'Jesus Castillo', 'mother_name': 'Erin Carson', 'contact_number': '240-430-6630x56055'}","{'name': 'Erin Perry', 'relationship': 'Friend', 'phone_number': '555-419-9013x374'}",French,"['Carson PLC', 'Scott, Lee and Wilkinson']",No
Nicole Fisher,bchen@example.net,2006-07-12,"4833 Brenda Gateway Suite 932
West Michaelmouth, DC 43217",532.240.4322x172,A,001aab7a-ea24-4f17-8d82-a17e60f2c55c,Computer Science,Philosophy,2014,1986,Female,6.4,African American,Single,"['empower killer platforms', 'repurpose virtual paradigms', 'extend revolutionary partnerships']",Full-time,Yes,Soccer,Completed Internship,042-12-4849,Royborough,Australian,"{'father_name': 'Justin Fisher', 'mother_name': 'Matthew Spears', 'contact_number': '379-966-5439'}","{'name': 'Andrew Sanchez', 'relationship': 'Sibling', 'phone_number': '001-202-440-0832'}",Mandarin,"['Hill, Collins and Gonzalez', 'Dickson, Brown and Smith']",Yes
David Hardy,ctorres@example.org,2005-11-21,"76767 Brock Mountain
West Julie, AK 53756",(371)466-3864x351,C,e8a3b7bb-cc02-4d69-aa7b-e2612baae86b,Engineering,Philosophy,1986,2016,Non-binary,6.1,Asian,Divorced,"['optimize end-to-end niches', 'evolve efficient channels', 'productize turn-key architectures']",Part-time,No,Football,Currently Internship,164-48-9128,Lake Laurenberg,Canadian,"{'father_name': 'David Mcintyre', 'mother_name': 'Paula Petty', 'contact_number': '711-633-4029'}","{'name': 'Christopher Baldwin', 'relationship': 'Other', 'phone_number': '6062669697'}",Spanish,"['Mcdonald-Bennett', 'Ross-Vazquez']",Yes
Andrew Odonnell,padillawilliam@example.com,2005-02-10,"138 Mark Garden Apt. 875
West Logan, UT 52101",3492657064,C,a05df550-bd7e-4aee-b75e-0329c4a90cab,Engineering,Economics,1970,1971,Male,3.6,Mixed,Divorced,"['seize efficient solutions', 'engage impactful eyeballs', 'envisioneer dot-com applications']",Part-time,Yes,Soccer,None,465-09-3266,Port Michele,German,"{'father_name': 'Dr. Max Murray', 'mother_name': 'Gary Parks', 'contact_number': '001-874-463-6884x148'}","{'name': 'Diana Vargas', 'relationship': 'Sibling', 'phone_number': '935-471-3438x41148'}",Spanish,"['Adkins-Price', 'Avila-Valentine']",Yes
David Morgan,palmerjames@example.org,2003-05-13,"798 Wilson Path Suite 768
North Lori, NM 17489",378-449-5628x5577,F,0d8184db-a152-4d56-9fef-2cbc86327f49,Physics,Music,1990,1976,Male,7.9,Caucasian,Divorced,"['architect innovative architectures', 'drive viral infrastructures', 'harness efficient networks']",Part-time,No,Soccer,Currently Internship,114-38-6873,Danielletown,Australian,"{'father_name': 'Russell Gill', 'mother_name': 'Marie Burke', 'contact_number': '466.427.4824x68941'}","{'name': 'Thomas Sampson', 'relationship': 'Other', 'phone_number': '957-804-4100'}",German,"['Hill-Haynes', 'Hall Ltd']",No
Ariel Copeland,whiterachel@example.org,2005-02-08,"04682 Christy Wells Apt. 285
Lake James, OK 28563",001-503-578-1176x250,B,2f683c95-743a-4d7e-8f9f-ada977519157,Physics,Psychology,1981,2005,Non-binary,8.6,Other,Single,"['maximize extensible methodologies', 'implement open-source info-mediaries', 'productize next-generation communities']",Part-time,No,None,Completed Internship,526-61-7019,Jeffreyport,Australian,"{'father_name': 'Michael Barnett', 'mother_name': 'Janet Bonilla', 'contact_number': '(339)545-6439x6233'}","{'name': 'Jennifer Hayes', 'relationship': 'Friend', 'phone_number': '448-415-0745'}",French,"['Griffin, Roy and Friedman', 'Rios-Flores']",Yes
Jennifer Harris,fmontes@example.com,2006-01-07,"889 Alexis Cliffs Apt. 554
New Tinabury, MT 39665",+1-454-531-9048x2678,A,a79a1af3-25be-40a9-8cc8-07c1f6da25d6,Biology,Philosophy,1982,2022,Female,10.2,Mixed,Married,"['e-enable wireless vortals', 'facilitate customized supply-chains', 'morph web-enabled content']",Part-time,No,Soccer,Currently Internship,417-95-8687,East Theresaside,Canadian,"{'father_name': 'Rebecca Kramer', 'mother_name': 'Rachael Prince', 'contact_number': '(322)806-7579'}","{'name': 'David Sherman', 'relationship': 'Friend', 'phone_number': '+1-460-718-0334x97152'}",English,"['Mendoza-Martin', 'Rhodes, Scott and Knapp']",No
Vanessa Torres,francisco95@example.org,2006-08-20,"USNS Logan
FPO AE 68288",+1-242-798-7205x37919,D,6531f74c-57de-4936-b8e1-64cf42ce462d,Mathematics,Psychology,1992,2021,Female,4.9,Mixed,Single,"['orchestrate innovative web-readiness', 'scale front-end communities', 'evolve scalable initiatives']",Full-time,No,Soccer,Currently Internship,005-75-0972,Campbellfurt,Canadian,"{'father_name': 'Shannon Swanson', 'mother_name': 'Megan Jones', 'contact_number': '656.312.5551x14205'}","{'name': 'Lindsey Young', 'relationship': 'Other', 'phone_number': '424-303-1551x14562'}",Other,"['Webb, Ross and Perez', 'Oliver-White']",Yes
Felicia Sullivan,elizabeth31@example.com,2005-07-23,"20311 Jennifer Tunnel Apt. 601
Lake Gavin, WY 42043",(608)674-0979x1080,B,456ef5d3-ed0b-46bc-b719-ac2aae8948a3,Biology,Psychology,1980,1996,Female,9.7,Caucasian,Single,"['target one-to-one channels', 'empower user-centric synergies', 'implement holistic niches']",Full-time,Yes,Football,Currently Internship,329-65-4076,North Christopher,Australian,"{'father_name': 'Daniel Brown', 'mother_name': 'Kyle Carter', 'contact_number': '507-924-5933x6400'}","{'name': 'Leslie Wilkerson', 'relationship': 'Friend', 'phone_number': '(364)878-7787x489'}",Other,"['Jones, Edwards and Johnson', 'Spencer, Curtis and Gomez']",No
Angela Ellis,esanchez@example.org,2006-06-16,"0414 Jones Islands Suite 989
East John, NM 24364",650.454.3960,A,8272d732-7be6-4922-ace2-5a3a0d6599f3,Engineering,Philosophy,1977,1996,Female,10.1,Asian,Single,"['deliver extensible technologies', 'embrace cross-media applications', 'innovate real-time solutions']",Full-time,Yes,Football,Completed Internship,230-38-3794,South Andrewtown,British,"{'father_name': 'Kyle Rangel', 'mother_name': 'Miguel Hampton', 'contact_number': '(384)580-4885x73941'}","{'name': 'Shirley Richardson', 'relationship': 'Sibling', 'phone_number': '+1-585-528-3158x321'}",Spanish,"['Lewis LLC', 'Moore PLC']",No
Steven Crane,ejones@example.net,2002-04-13,"035 Bell Rapids Suite 643
New Michael, ID 14125",001-490-388-0157x052,F,18973227-208a-49f9-b4c0-1d45d0682951,Biology,Psychology,1981,2025,Non-binary,5.8,Caucasian,Married,"['incubate viral metrics', 'enable ubiquitous e-commerce', 'envisioneer wireless mindshare']",Part-time,Yes,None,Currently Internship,538-16-0842,Andrewburgh,Australian,"{'father_name': 'David Rogers', 'mother_name': 'Edwin Mcdaniel', 'contact_number': '706-514-2069'}","{'name': 'Todd Hendrix', 'relationship': 'Other', 'phone_number': '236.234.2292x85766'}",English,"['Lee and Sons', 'Frazier, Potter and Riggs']",No
Robert Wiggins,sanderscassandra@example.com,2006-06-17,"5117 Richard Locks Suite 389
Hudsonbury, AZ 45050",712-762-3588,D,f554d326-54fa-4d2a-a4a9-baa44d0061d4,Mathematics,Art History,2023,2020,Male,6.8,Hispanic,Divorced,"['grow bricks-and-clicks methodologies', 'morph dynamic models', 'implement visionary experiences']",Full-time,No,Basketball,Currently Internship,551-88-6284,Lorimouth,British,"{'father_name': 'Julie Carter', 'mother_name': 'Albert Montgomery', 'contact_number': '889-571-2249x833'}","{'name': 'Shawn Matthews', 'relationship': 'Sibling', 'phone_number': '5298964774'}",Spanish,"['Coleman, Salazar and Sims', 'Mitchell Group']",Yes
Michelle Arellano,hermanleslie@example.org,2006-03-24,"Unit 4548 Box 4509
DPO AP 44697",+1-268-260-0842x23008,C,0b9b9aee-0673-4304-87d6-05c783cf57ed,Physics,Philosophy,1972,1988,Female,4.2,Mixed,Single,"['productize synergistic channels', 'exploit seamless initiatives', 'generate granular mindshare']",Full-time,No,Basketball,Currently Internship,587-93-6106,East Russellville,Canadian,"{'father_name': 'Fernando Ryan', 'mother_name': 'Maureen Anderson', 'contact_number': '810-558-3859x7374'}","{'name': 'Thomas Stark', 'relationship': 'Sibling', 'phone_number': '750.313.9301'}",Mandarin,"['Patterson, Kirby and Hodges', 'Taylor, Parker and Brown']",No
John Patterson,angel25@example.net,2004-03-16,"452 Kelley Streets Suite 517
West Alanville, MT 84618",275.864.2996x31754,C,e4697032-eb67-4e62-b8ae-d1d3d5cdbccb,Physics,Psychology,1996,1971,Male,5.0,Asian,Divorced,"['enhance intuitive applications', 'reinvent best-of-breed platforms', 'extend next-generation partnerships']",Part-time,No,Basketball,None,112-74-0056,Meganfort,Australian,"{'father_name': 'Brittany Nichols', 'mother_name': 'Seth Harding', 'contact_number': '839.909.8246x81663'}","{'name': 'Brandy Garcia', 'relationship': 'Sibling', 'phone_number': '(738)211-8664'}",Mandarin,"['Wagner Group', 'Johnson, Jones and Cameron']",No
Todd Davis,smithjennifer@example.com,2006-06-27,"PSC 5944, Box 2710
APO AP 30046",001-492-704-0974x51636,C,6b55d6a1-c3c0-433b-b455-280a20b53260,Engineering,Music,1977,2024,Non-binary,6.8,Mixed,Single,"['engineer ubiquitous action-items', 'enhance one-to-one applications', 'envisioneer plug-and-play networks']",Part-time,No,None,None,704-07-6567,Alexandermouth,German,"{'father_name': 'Dustin Rodriguez', 'mother_name': 'Stacey Nelson', 'contact_number': '322-796-6568'}","{'name': 'Jordan Daugherty', 'relationship': 'Friend', 'phone_number': '(804)358-5011'}",Mandarin,"['Gutierrez PLC', 'Wong-Burns']",Yes
Kyle Mitchell,williamsvictoria@example.com,2006-03-18,"6507 Brown Trace Suite 909
Thomasland, PR 48442",+1-683-588-2488x9464,C,9b7e7f37-cdae-4421-9058-768e87deddac,Computer Science,Psychology,1975,2022,Male,2.3,Mixed,Divorced,"['productize back-end markets', 'engage one-to-one technologies', 'deliver plug-and-play initiatives']",Full-time,No,Football,Currently Internship,325-22-3514,Port Jeffburgh,American,"{'father_name': 'Eric Hughes', 'mother_name': 'Autumn Garrett', 'contact_number': '+1-231-840-7592x571'}","{'name': 'John Newton', 'relationship': 'Friend', 'phone_number': '+1-655-725-4820x7575'}",German,"['Adams, Lewis and Carpenter', 'Williams Inc']",No
Victor Villarreal,katie30@example.org,2006-06-17,"Unit 1928 Box 9777
DPO AA 10588",+1-623-639-7432,B,89e5c317-68f5-48b4-bd10-ea2e24a1bf90,Physics,Psychology,1978,2016,Non-binary,5.1,Mixed,Married,"['facilitate virtual e-tailers', 'revolutionize customized initiatives', 'productize back-end partnerships']",Part-time,No,Football,Currently Internship,589-80-4263,Lake Philipborough,American,"{'father_name': 'James Stevens', 'mother_name': 'Paula Woods', 'contact_number': '5424026078'}","{'name': 'Julia Johnston', 'relationship': 'Sibling', 'phone_number': '350.998.0103x2301'}",French,"['Hodges-Barron', 'Robertson, Johnson and Escobar']",Yes
Richard Tucker,allison18@example.com,2003-02-19,"95017 Nixon Lock
Jenniferstad, CT 94371",615-751-3766x1407,F,eab4df5c-71be-48fa-bcae-031d2305e568,Computer Science,Economics,2017,1978,Female,10.8,Hispanic,Married,"['productize turn-key eyeballs', 'monetize virtual deliverables', 'synergize rich users']",Full-time,No,Basketball,Currently Internship,875-61-0902,Johnburgh,Canadian,"{'father_name': 'Kathryn Farmer', 'mother_name': 'Sandra Campbell', 'contact_number': '+1-296-767-9083x3028'}","{'name': 'John Beltran', 'relationship': 'Friend', 'phone_number': '220-533-7739'}",Spanish,"['Smith, Villanueva and Jones', 'Brandt-Pearson']",Yes
Meghan Gonzalez,aguilarwilliam@example.com,2004-06-06,"548 Michael Mills Suite 730
Westbury, WI 77173",+1-669-699-1450x5148,C,1946d468-73cd-4f17-85ec-2d7458ad8be5,Chemistry,Philosophy,2019,1985,Female,5.2,Hispanic,Single,"['generate cross-platform content', 'engineer one-to-one metrics', 'iterate holistic initiatives']",Part-time,Yes,Soccer,Completed Internship,166-77-7309,North Samuel,American,"{'father_name': 'Ashley Simmons', 'mother_name': 'Kimberly Davis', 'contact_number': '399-540-0160'}","{'name': 'Bradley Simmons', 'relationship': 'Parent', 'phone_number': '001-436-382-9345x97290'}",German,"['Parrish, Lane and Campbell', 'Thomas, Gardner and Hobbs']",Yes
John Burton,teresa85@example.com,2003-09-20,"42635 Rhonda Expressway
Edwardton, AR 54115",268.580.8339x830,B,c9293adb-6897-4ed7-a3e4-b5f8af657299,Biology,Economics,1985,1974,Non-binary,9.2,Asian,Single,"['revolutionize compelling bandwidth', 'enable magnetic info-mediaries', 'strategize synergistic eyeballs']",Full-time,Yes,Football,None,892-31-1412,West Leroy,American,"{'father_name': 'Denise Smith', 'mother_name': 'Michelle Taylor', 'contact_number': '001-583-360-5848x1212'}","{'name': 'John Scott', 'relationship': 'Friend', 'phone_number': '+1-954-578-8594x27191'}",Other,"['Mcdonald, Sanchez and Pace', 'Shepard LLC']",Yes
Jo Bryant,qpatel@example.org,2004-07-07,"68168 Jordan Ferry
New Connor, IN 14609",754-771-5698,D,96a026c3-37d7-4b27-bb4e-ac4eef7b6b1c,Mathematics,Philosophy,1995,2016,Non-binary,8.5,Other,Divorced,"['grow interactive supply-chains', 'matrix one-to-one communities', 'reinvent ubiquitous web-readiness']",Part-time,No,Basketball,Completed Internship,880-94-5155,Rhodestown,American,"{'father_name': 'Erica Gonzalez', 'mother_name': 'Calvin Holloway', 'contact_number': '+1-795-556-6142x45105'}","{'name': 'Kevin Williams', 'relationship': 'Friend', 'phone_number': '626-813-3103x9283'}",French,"['Vasquez-Roman', 'Perkins, Knight and Martin']",Yes
Matthew Hill,devonsmith@example.org,2006-10-19,"53630 Clements Court Apt. 438
Websterfurt, NC 51024",(290)740-6768x43868,C,ae0c330e-944e-4da3-a05c-68bc84534eb4,Engineering,Sociology,1980,1997,Male,4.7,Asian,Divorced,"['mesh cross-media web-readiness', 'productize cutting-edge deliverables', 'deploy next-generation architectures']",Full-time,No,Football,Completed Internship,285-36-0121,Davidstad,Canadian,"{'father_name': 'Joseph Sims', 'mother_name': 'Denise Barron', 'contact_number': '001-905-518-4766x991'}","{'name': 'James Jackson DDS', 'relationship': 'Other', 'phone_number': '+1-846-956-7674x20691'}",English,"['Benson, Lee and Yoder', 'Lee, Mcconnell and Garza']",No
Tina Buchanan,brianlittle@example.net,2007-01-14,"5703 King Hill Suite 648
South Jamesbury, MS 66554",(645)711-9230x219,A,1b03b5e2-7dfb-4c7e-8878-44d673263941,Computer Science,Psychology,1978,2003,Female,9.9,Mixed,Divorced,"['streamline e-business channels', 'extend end-to-end bandwidth', 'incentivize leading-edge e-services']",Part-time,No,Football,Currently Internship,845-02-6155,Tannerport,Canadian,"{'father_name': 'Melanie Newton', 'mother_name': 'Cynthia Stark', 'contact_number': '+1-758-828-9141x85822'}","{'name': 'Maria Robinson', 'relationship': 'Friend', 'phone_number': '718-473-8239'}",English,"['Morgan-Wilson', 'Peters, Edwards and Davis']",Yes
Sierra French,kimberly02@example.com,2004-11-13,"06578 Gardner Expressway Apt. 905
North Samuelmouth, VI 59043",2894867825,A,5a25bc09-4d1f-46ee-b2b5-39395da64479,Chemistry,Sociology,2017,2011,Male,6.4,Mixed,Single,"['e-enable out-of-the-box communities', 'implement transparent models', 'morph granular niches']",Full-time,Yes,Basketball,Currently Internship,120-60-4211,New Brittanyborough,British,"{'father_name': 'Alejandra Simpson', 'mother_name': 'Terry Osborne', 'contact_number': '(239)471-3002x71044'}","{'name': 'Jennifer Morales', 'relationship': 'Parent', 'phone_number': '+1-328-937-8980x66855'}",French,"['Hill, Rivera and Brown', 'Davis-Love']",No
Melissa Smith,robertsdustin@example.org,2003-01-29,"88668 Brandon Manor
Port April, MN 99701",(529)740-7781,F,60b1a5d9-412b-4018-99d7-b34f728c6ab9,Engineering,Sociology,1988,2006,Non-binary,5.1,Mixed,Married,"['maximize bricks-and-clicks synergies', 'aggregate enterprise bandwidth', 'streamline clicks-and-mortar users']",Part-time,Yes,Football,None,505-30-2443,Austinberg,Canadian,"{'father_name': 'Nicole Chen', 'mother_name': 'Ryan Evans', 'contact_number': '001-874-975-5129'}","{'name': 'Isabel Rasmussen', 'relationship': 'Friend', 'phone_number': '(689)856-1409x6692'}",German,"['Harris Group', 'Ponce-Deleon']",Yes
Jessica Garcia,chriswhite@example.com,2006-08-31,"24357 Melinda Summit Apt. 086
Foxton, MN 84986",(689)505-6741x0950,C,b4679f24-fec3-485e-b209-2415eedae22c,Engineering,Psychology,2012,1981,Female,9.1,Mixed,Married,"['integrate 24/7 applications', 'cultivate compelling users', 'expedite killer web-readiness']",Part-time,No,Soccer,None,714-28-3195,Lake Sean,Australian,"{'father_name': 'Aaron Moses', 'mother_name': 'Anthony Dodson', 'contact_number': '+1-512-657-7776x7450'}","{'name': 'George Bolton', 'relationship': 'Sibling', 'phone_number': '+1-676-229-4934x5729'}",Other,"['Thornton PLC', 'Diaz Inc']",No
Michael Johnson,ghernandez@example.org,2006-10-14,"916 Christy Bridge
Richardshire, PR 31496",+1-964-530-5687x7413,A,960e0d41-0694-48ec-a17a-0ee8f16d69eb,Physics,Economics,2016,1971,Female,10.5,Hispanic,Single,"['streamline e-business functionalities', 'envisioneer plug-and-play e-commerce', 'transform B2B e-business']",Part-time,Yes,None,None,405-08-0730,Jenniferborough,Australian,"{'father_name': 'Megan Smith', 'mother_name': 'Jennifer Todd', 'contact_number': '+1-852-338-0800x8980'}","{'name': 'Molly Baker', 'relationship': 'Other', 'phone_number': '999-519-7795'}",Spanish,"['Mclean, Melton and Johnson', 'Landry and Sons']",No
David Durham,henryangela@example.net,2006-04-10,"966 Miranda Ranch Suite 171
New Deborah, MD 35533",001-949-890-8839,F,d72a58ba-9d0f-461d-a587-233e61599478,Engineering,Art History,1987,2014,Non-binary,2.7,Other,Single,"['disintermediate cross-platform e-markets', 'facilitate ubiquitous vortals', 'matrix viral functionalities']",Full-time,Yes,Football,Currently Internship,759-21-3885,Lindachester,Canadian,"{'father_name': 'Alan Collier', 'mother_name': 'Robin Griffin', 'contact_number': '001-826-328-2312x28173'}","{'name': 'Margaret Smith', 'relationship': 'Other', 'phone_number': '+1-911-684-7783x436'}",German,"['King-Clark', 'Brown, Jones and Walker']",No
Danielle Willis,daniellecox@example.net,2006-08-23,"07073 Nolan Islands
West Larry, GU 46046",659-773-3236x26598,B,11ce3042-7975-40e7-b3d2-b714bee8ac0a,Mathematics,Philosophy,1983,1974,Non-binary,5.9,Caucasian,Married,"['disintermediate leading-edge action-items', 'synergize clicks-and-mortar technologies', 'syndicate out-of-the-box eyeballs']",Full-time,No,None,None,471-97-8311,Castanedaton,Canadian,"{'father_name': 'Larry Simmons', 'mother_name': 'Lisa Davis', 'contact_number': '262.281.7230x493'}","{'name': 'Anna Douglas', 'relationship': 'Parent', 'phone_number': '(361)737-9291x2489'}",English,"['King-Ward', 'Morgan, Love and Durham']",Yes
